city,uof_url,uof_shootings_only,uof_coverage,uof_foia_requested,uof_notes,arr_url,arr_coverage,arr_demographic,arr_download,arr_notes,cfs_url,cfs_coverage,cfs_download,cfs_officer_initiated,cfs_dispatched,cfs_outcome,cfs_location,cfs_notes,crime_url,crime_coverage,crime_download,crime_notes,map_url,map_coverage,map_download,map_notes,cens_pop_2010,cens_est_base,cens_est_2010,cens_est_2011,cens_est_2012,cens_est_2013,cens_est_2014,cens_est_2015,cens_est_2016,cens_est_2017,cens_est_2018,cens_est_2019
"New Orleans city, Louisiana",https://data.nola.gov/Public-Safety-and-Preparedness/NOPD-Use-of-Force-Incidents/9mnw-mbde,N,2016-2019,Y,Dataset with individual incidents,N/A,,,,,https://data.nola.gov/Public-Safety-and-Preparedness/Call-for-Service-2020/hp7u-i9hf,Unk,N,Y,Y,Y,Y,,https://nopdnews.com/transparency/policing-data/,2010-2019,Y,Incidents,https://www.crimemapping.com/map/la/neworleans,12/14/2019 - present,N,,"343,829","343,828","347,772","360,735","369,787","378,637","383,940","389,742","391,843","391,493","391,004","390,144"
Largest Cities in States with No City in US Top 50 Largest Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham city, Alabama",N/A,,,Y,,N/A,,,,,https://data.birminghamal.gov/dataset?organization=birmingham-police-department,06/05/17-10/18/19,Y,,N,N,Y,Split into each precinct (NSEW),N/A,,,,N/A,,,,"212,237","212,585","212,328","212,095","211,287","211,765","211,651","212,259","211,977","211,533","210,487","209,403"
"Anchorage municipality, Alaska",N/A,,,Y,,N/A,,,,,N/A,,,,,,,,https://data.muni.org/Public-Safety/Anchorage-Crime-Data-by-Type-and-Year-UCR-1985-201/48we-a359,1986-2017,Y,"Aggregate over the course of each year, broken down by crime type",https://communitycrimemap.com/,Unk,N,,"291,826","291,836","293,321","296,197","298,255","301,142","299,893","297,547","297,249","294,338","290,521","288,000"
"Billings city, Montana",N/A,,,N,,N/A,,,,,N/A,,,,,,,,https://www.ci.billings.mt.us/1773/Crime-Statistics,2013-2019,N,Annual reports only,https://www.crimemapping.com/map/mt/billings/,Last 7 days,N,,"104,170","104,284","104,509","105,458","106,765","108,561","108,434","109,599","109,620","109,797","109,444","109,577"
"Boise City city, Idaho",N/A,,,N,,N/A,,,,,N/A,,,,,,,,N/A,,,,N/A,,,,"205,671","209,384","209,576","212,635","215,627","217,330","219,440","220,850","224,604","227,648","228,442","228,959"
"Bridgeport city, Connecticut",N/A,,,N,,N/A,,,,,N/A,,,,,,,,N/A,,,,N/A,,,,"144,229","144,246","144,864","146,146","147,096","147,716","147,870","147,409","146,287","145,346","144,772","144,399"
"Burlington city, Vermont",https://data.burlingtonvt.gov/explore/dataset/bpd-use-of-force-2012-2018/information/,N,2012-2018,N,2019 report: https://www.burlingtonvt.gov/Police/Data/Reports,https://www.burlingtonvt.gov/Police/Data/OpenData,2012-Present,Y,Y,,N/A,,,,,,,,https://data.burlingtonvt.gov/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&sort=title&refine.theme=Public+Safety&q=incidents,2012-2019,Y,,https://data.burlingtonvt.gov/map/+067df9817d204d3d/edit/,2012-2019,Y,"""Create a map"" tool that can link with any of their open data","42,417","42,414","42,436","42,534","42,648","42,667","42,491","42,519","42,309","42,399","42,697","42,819"
"Charleston city, South Carolina",http://pdi-charleston-sc.opendata.arcgis.com/search?groupIds=a6e2de25969e42ea812b7bf530754fb6&q=response%20to%20resistance,N,2017-2019,N,Labeled as Response to Resistance-Aggression Data; Racial Bias Audit Report with Data Analysis of 2014-2018 UoF data: https://www.charleston-sc.gov/DocumentCenter/View/25213/CNA-CPD-Final-Report---11719?bidId=,https://www.arcgis.com/apps/MapSeries/index.html?appid=fad2a3f085c644d0b014b507d23bcd9a,2015-2020,Y,Y,,https://www.arcgis.com/apps/MapSeries/index.html?appid=fad2a3f085c644d0b014b507d23bcd9a,2015-2020,Y,Y,,Y,Y,,N/A,,,,https://www.city-data.com/crime/crime-Charleston-South-Carolina.html,2005-2018,N,,"120,083","120,364","120,700","123,012","125,223","127,246","129,434","132,413","134,453","135,626","136,111","137,566"
"Charleston city, West Virginia",N/A,,,N,,N/A,,,,,N/A,,,,,,,,N/A,,,,N/A,,,,"51,400","51,340","51,274","50,992","50,858","50,657","50,133","49,457","48,789","48,040","47,172","46,536"
"Cheyenne city, Wyoming",https://www.cheyennepd.org/index.aspx?nid=217,N,2016-2019,N,Annual Report,N/A,,,,,N/A,,,,,,,,http://www.cheyennepd.org/index.aspx?nid=217,2016-2019,N,Annual report,"https://cityprotect.com/map/list/incidents?toDate=2020-06-09T23:59:59.999Z&fromDate=2020-06-06T00:00:00.000Z&pageSize=2000&parentIncidentTypeIds=149,150,148,8,97,104,165,98,100,179,178,180,101,99,103,163,168,166,12,161,14,16,15&zoomLevel=14&latitude=41.135916144733834&longitude=-104.79819319223225&days=1,2,3,4,5,6,7&startHour=0&endHour=24&timezone=%2B00:00",Unk,N,Motorola,"59,466","59,552","59,778","60,177","61,438","62,122","62,279","62,905","63,451","63,520","63,835","64,235"
"Des Moines city, Iowa",N/A,,,N,,N/A,,,,,N/A,,,,,,,,https://www.dsm.city/document_center/Police/Forms%20and%20Documents/2019%20Statistical%20Report.pdf?pdf=2019%20Des%20Moines%20Police%20Department%20Statistical%20Report&t=1591808469103,2019,N,Aggregate data annually,https://www.dsm.city/departments/police-division/investigations/crime_mapping.php,Last 30 days,N,Can only view 1000 records at a time,"203,433","204,220","205,032","207,924","210,244","212,026","214,350","215,243","216,308","216,662","215,994","214,237"
